596,"Zupa grochowa"
597,"Zupa grzybowa zabielana"
598,"Zupa jarzynowa"
599,"Zupa jesienna mrożona"
600,"Zupa kalafiorowa"
601,"Zupa kalafiorowa mrożona"
602,"Zupa neapolitańska"
603,"Zupa ogórkowa"
604,"Zupa owocowa z jabłek"
605,"Zupa pomidorowa"
606,"Zupa pomidorowa z makaronem"
607,"Zupa pomidorowa z ryżem"
608,"Zupa pomidorowa zabielana"
609,"Zupa selerowa"
610,"Zupa selerowa z grzankami"
611,"Zupa szczawiowa"
612,"Zupa szpinakowa z ziemniakami"
613,"Zupa włoska mrożona"
614,"Zupa z fasoli szparagowej"
615,"Zupa z porów z makaronem"
616,"Zupa z zielonego groszku"
617,"Zupa ziemniaczana"
618,"Zupa zimowa mrożona"
619,"Żeberka wieprzowe duszone"
620,"Żółtko jaja kurzego"
